id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,3424,ORANG,2020
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3785,ORANG,2020
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4940,ORANG,2020
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4189,ORANG,2020
5,32,JAWA BARAT,3205,KABUPATEN GARUT,4341,ORANG,2020
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1709,ORANG,2020
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5254,ORANG,2020
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1663,ORANG,2020
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,5584,ORANG,2020
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2354,ORANG,2020
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2502,ORANG,2020
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,4557,ORANG,2020
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,2978,ORANG,2020
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3812,ORANG,2020
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1838,ORANG,2020
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,1093,ORANG,2020
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1396,ORANG,2020
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,197,ORANG,2020
19,32,JAWA BARAT,3271,KOTA BOGOR,1841,ORANG,2020
20,32,JAWA BARAT,3272,KOTA SUKABUMI,1071,ORANG,2020
21,32,JAWA BARAT,3273,KOTA BANDUNG,3274,ORANG,2020
22,32,JAWA BARAT,3274,KOTA CIREBON,1555,ORANG,2020
23,32,JAWA BARAT,3275,KOTA BEKASI,1544,ORANG,2020
24,32,JAWA BARAT,3276,KOTA DEPOK,838,ORANG,2020
25,32,JAWA BARAT,3277,KOTA CIMAHI,1329,ORANG,2020
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1150,ORANG,2020
27,32,JAWA BARAT,3279,KOTA BANJAR,502,ORANG,2020
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,3424,ORANG,2021
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,4690,ORANG,2021
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4607,ORANG,2021
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4189,ORANG,2021
32,32,JAWA BARAT,3205,KABUPATEN GARUT,3092,ORANG,2021
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1339,ORANG,2021
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5270,ORANG,2021
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1936,ORANG,2021
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,5209,ORANG,2021
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3023,ORANG,2021
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2517,ORANG,2021
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1622,ORANG,2021
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,2978,ORANG,2021
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3678,ORANG,2021
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1837,ORANG,2021
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,1932,ORANG,2021
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1396,ORANG,2021
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,197,ORANG,2021
46,32,JAWA BARAT,3271,KOTA BOGOR,713,ORANG,2021
47,32,JAWA BARAT,3272,KOTA SUKABUMI,2718,ORANG,2021
48,32,JAWA BARAT,3273,KOTA BANDUNG,2288,ORANG,2021
49,32,JAWA BARAT,3274,KOTA CIREBON,1246,ORANG,2021
50,32,JAWA BARAT,3275,KOTA BEKASI,1130,ORANG,2021
51,32,JAWA BARAT,3276,KOTA DEPOK,3782,ORANG,2021
52,32,JAWA BARAT,3277,KOTA CIMAHI,778,ORANG,2021
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,998,ORANG,2021
54,32,JAWA BARAT,3279,KOTA BANJAR,249,ORANG,2021
